sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
task1,400,3,3,4,2,5,0.0,4.496099633567879,57.022310489400446
TOTAL,400,3,3,4,2,5,0.0,4.496099633567879,57.022310489400446
