sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
task1,100,3,3,4,3,4,0.0,205.76131687242798,2609.592013888889
TOTAL,100,3,3,4,3,4,0.0,205.76131687242798,2609.592013888889
